Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description,Has_Director,Added_Year,Added_Month
S1992,Tv Show,Criminal: Uk,Unknown,"Katherine Kelly, Lee Ingleby, Mark Stanley, Rochenda Sandall, Shubham Saraf, Nicholas Pinnock, David Tennant, Hayley Atwell, Youssef Kerkour, Clare-Hope Ashitey, Isabella Laughland","['United Kingdom', 'France', 'Germany', 'Spain']",2020-09-16,2020,TV-MA,2 Seasons,"['British Tv Shows', 'Crime Tv Shows', 'International Tv Shows']","Within The Walls Of An Interrogation Room And With Time Running Out, London Investigators Go After Three Suspects, Each Accused Of A Grievous Crime.",False,2020,September
S1993,Movie,Dr Jason Leong Hashtag Blessed,Kubhaer T. Jethwani,Jason Leong,['Unknown'],2020-09-16,2018,TV-MA,69 Min,['Stand-Up Comedy'],"In This Stand-Up Special, Former Doctor Jason Leong Gives His Diagnoses On The Nonsense Of Traditional Healers, Business-Class Show-Offs And More.",True,2020,September
S1994,Tv Show,Signs,Unknown,"Andrzej Konopka, Helena Sujecka, Piotr Trojan, Michał Czernecki, Mariusz Ostrowski, Robert Gulaczyk, Mirosław Kropielnicki, Helena Englert, Paulina Gałązka, Magdalena Źak",['Poland'],2020-09-16,2020,TV-MA,2 Seasons,"['Crime Tv Shows', 'International Tv Shows', 'Tv Dramas']","When A Young Woman'S Murder Shows Similarities To A Decade-Old Cold Case, A New Police Commander Must Break The Silence Permeating An Owl Mountain Town.",False,2020,September
S1995,Tv Show,Sing On!,Unknown,Tituss Burgess,['United States'],2020-09-16,2020,TV-PG,1 Season,['Reality Tv'],"In This Fun, Fast-Paced Music Contest Hosted By Tituss Burgess, Players Sing Their Hearts Out And Try To Hit The Right Notes To Win Up To $60,000.",False,2020,September
S1996,Movie,The Devil All The Time,Antonio Campos,"Tom Holland, Bill Skarsgård, Riley Keough, Robert Pattinson, Mia Wasikowska, Jason Clarke, Sebastian Stan, Haley Bennett, Harry Melling, Eliza Scanlen",['United States'],2020-09-16,2020,R,139 Min,"['Dramas', 'Thrillers']",Sinister Characters Converge Around A Young Man Devoted To Protecting Those He Loves In A Postwar Backwoods Town Teeming With Corruption And Brutality.,True,2020,September
S1997,Movie,The Paramedic,Carles Torras,"Mario Casas, Déborah François, Guillermo Pfening, María Rodríguez Soto, Celso Bugallo, Raúl Jiménez, Pol Monen, Alice Bocchi, Martín Bacigalupo",['Spain'],2020-09-16,2020,TV-MA,94 Min,"['Dramas', 'International Movies', 'Thrillers']","Unable To Face His New Reality In A Wheelchair, Ángel Develops A Deadly Obsession With The Woman Who Left Him And Unleashes A Sinister Revenge Plot.",True,2020,September
S1998,Movie,The Take,James Watkins,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly, José Garcia, Vincent Londez, Arieh Worthalter, Mohamed Makhtoumi, Théo Costa-Marini, Jérôme Gaspard","['United Kingdom', 'France', 'United States', 'Belgium', 'Luxembourg', 'China', 'Germany']",2020-09-16,2016,R,92 Min,"['Action', 'Adventure', 'International Movies']","After A Mix-Up Lands Him In Hot Water, A Skilled Pickpocket Is Forced To Help A No-Nonsense Cia Operative Track A Terrorist Group In Paris.",True,2020,September
S1999,Tv Show,Call The Midwife,Philippa Lowthorpe,"Vanessa Redgrave, Bryony Hannah, Helen George, Jenny Agutter, Pam Ferris, Laura Main, Judy Parfitt, Cliff Parisi, Stephen Mcgann, Ben Caplan, Miranda Hart, Jessica Raine, Max Macmillan, Victoria Yeates, Jack Ashton, Emerald Fennell, Linda Bassett",['United Kingdom'],2020-09-15,2020,TV-MA,9 Seasons,"['British Tv Shows', 'International Tv Shows', 'Tv Dramas']",This Period Drama Set In Impoverished East London In The 1950S Follows A Newly Qualified Midwife And Her Colleagues At A Nursing Convent.,True,2020,September
S2000,Movie,Hope Frozen: A Quest To Live Twice,Pailin Wedel,Unknown,"['Thailand', 'United States']",2020-09-15,2020,TV-PG,80 Min,"['Documentaries', 'International Movies']","A Thai Scientist And His Family Decide To Cryonically Freeze Their Cherished, Dying Toddler. This Heartfelt Documentary Follows Their Journey.",True,2020,September
S2001,Movie,Michael Mcintyre: Showman,Chris Howe,Michael Mcintyre,['United Kingdom'],2020-09-15,2020,TV-MA,63 Min,['Stand-Up Comedy'],"Charming Comic Michael Mcintyre Talks Family, Technology, Sharks, Accents And The Time He Confused Himself For A World Leader In This Stand-Up Special.",True,2020,September
